icc_2k,icc_3k,cronbach_alpha,cv,sd,range,mean,n_attempts,agent_id,question_id,section_id
1.0,1.0,1.0,0.0,0.0,0,5.0,4,0000,BES-A_1,BES-A
0.8,0.31034482758620696,0.75,38.49001794597505,0.5773502691896257,1,1.5,4,0000,BES-A_2,BES-A
0.8421052631578947,0.6551724137931034,0.8125,10.526315789473683,0.5,1,4.75,4,0000,BES-A_3,BES-A
0.8421052631578947,0.6296296296296297,0.8125,11.76470588235294,0.5,1,4.25,4,0000,BES-A_4,BES-A
0.8421052631578947,0.6551724137931034,0.8125,10.526315789473683,0.5,1,4.75,4,0000,BES-A_5,BES-A
0.8,0.574468085106383,0.75,12.830005981991683,0.5773502691896257,1,4.5,4,0000,BES-A_6,BES-A
0.8,0.574468085106383,0.75,12.830005981991683,0.5773502691896257,1,4.5,4,0000,BES-A_7,BES-A
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0000,BES-A_8,BES-A
0.3999999999999999,0.13043478260869557,0.0,47.14045207910317,1.4142135623730951,3,3.0,4,0000,BES-A_9,BES-A
0.4571428571428572,0.17030567685589515,0.0,38.71709966805513,1.2583057392117916,3,3.25,4,0000,BFI-10_1,BFI-10
0.8421052631578947,0.5652173913043478,0.8125,15.384615384615385,0.5,1,3.25,4,0000,BFI-10_10,BFI-10
1.0,1.0,1.0,0.0,0.0,0,4.0,4,0000,BFI-10_2,BFI-10
0.2666666666666667,0.06382978723404253,0.0,76.59416862050705,1.9148542155126762,4,2.5,4,0000,BFI-10_3,BFI-10
0.8421052631578947,0.5652173913043478,0.8125,15.384615384615385,0.5,1,3.25,4,0000,BFI-10_4,BFI-10
0.5,0.13043478260869568,0.0,57.735026918962575,1.1547005383792515,2,2.0,4,0000,BFI-10_5,BFI-10
0.8421052631578947,0.6296296296296297,0.8125,11.76470588235294,0.5,1,4.25,4,0000,BFI-10_6,BFI-10
0.5714285714285714,0.13043478260869557,0.25,66.66666666666666,1.0,2,1.5,4,0000,BFI-10_7,BFI-10
0.8421052631578947,0.6551724137931034,0.8125,10.526315789473683,0.5,1,4.75,4,0000,BFI-10_8,BFI-10
0.8421052631578947,0.5238095238095238,0.8125,18.181818181818183,0.5,1,2.75,4,0000,BFI-10_9,BFI-10
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0000,REI_1,REI
0.8421052631578947,0.6551724137931034,0.8125,10.526315789473683,0.5,1,4.75,4,0000,REI_10,REI
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0000,REI_2,REI
0.5714285714285714,0.19999999999999996,0.25,40.0,1.0,2,2.5,4,0000,REI_3,REI
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0000,REI_4,REI
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0000,REI_5,REI
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0000,REI_6,REI
0.8,0.5121951219512195,0.75,16.49572197684645,0.5773502691896257,1,3.5,4,0000,REI_7,REI
0.8421052631578947,0.6551724137931034,0.8125,10.526315789473683,0.5,1,4.75,4,0000,REI_8,REI
0.8421052631578947,0.6,0.8125,13.333333333333334,0.5,1,3.75,4,0000,REI_9,REI
1.0,1.0,1.0,0.0,0.0,0,5.0,4,0001,BES-A_1,BES-A
0.5714285714285714,0.13043478260869557,0.25,66.66666666666666,1.0,2,1.5,4,0001,BES-A_2,BES-A
0.8,0.574468085106383,0.75,12.830005981991683,0.5773502691896257,1,4.5,4,0001,BES-A_3,BES-A
0.8421052631578947,0.6296296296296297,0.8125,11.76470588235294,0.5,1,4.25,4,0001,BES-A_4,BES-A
0.8,0.574468085106383,0.75,12.830005981991683,0.5773502691896257,1,4.5,4,0001,BES-A_5,BES-A
0.8421052631578947,0.6551724137931034,0.8125,10.526315789473683,0.5,1,4.75,4,0001,BES-A_6,BES-A
0.8421052631578947,0.6551724137931034,0.8125,10.526315789473683,0.5,1,4.75,4,0001,BES-A_7,BES-A
0.8421052631578947,0.5652173913043478,0.8125,15.384615384615385,0.5,1,3.25,4,0001,BES-A_8,BES-A
0.5714285714285714,0.2592592592592593,0.25,28.57142857142857,1.0,2,3.5,4,0001,BES-A_9,BES-A
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0001,BFI-10_1,BFI-10
0.8421052631578947,0.5652173913043478,0.8125,15.384615384615385,0.5,1,3.25,4,0001,BFI-10_10,BFI-10
0.8421052631578947,0.6296296296296297,0.8125,11.76470588235294,0.5,1,4.25,4,0001,BFI-10_2,BFI-10
0.8,0.31034482758620696,0.75,38.49001794597505,0.5773502691896257,1,1.5,4,0001,BFI-10_3,BFI-10
1.0,1.0,1.0,0.0,0.0,0,3.0,4,0001,BFI-10_4,BFI-10
0.5,0.13043478260869568,0.0,57.735026918962575,1.1547005383792515,2,2.0,4,0001,BFI-10_5,BFI-10
